playerID,,Season,gamesPlayed,points,assists,rebounds,steals,blocks,turnovers
1,Ben Simmons\simmobe01,2019,79,1337,610,697,112,142.2,274
2,J.J. Redick\redicjj01,2019,76,1372,206,186,32,45.6,101
3,Joel Embiid\embiijo01,2019,64,1761,234,871,46,281.6,226
4,Jimmy Butler\butleji01,2019,55,1002,220,290,99,66,81
5,T.J. McConnell\mccontj01,2019,76,483,258,174,79,68.4,91
6,Landry Shamet\shamela01,2019,54,449,59,78,24,32.4,26
7,Mike Muscala\muscami01,2019,47,349,62,200,18,94,43
8,Wilson Chandler\chandwi01,2019,36,241,72,168,22,54,39
9,Tobias Harris\harrito02,2019,27,492,79,213,11,29.7,42
10,Furkan Korkmaz\korkmfu01,2019,48,279,52,107,29,9.6,25
11,Mike Scott\scottmi01,2019,27,211,22,102,9,16.2,17
12,Jonah Bolden\boldejo01,2019,44,207,40,165,17,211.2,36
13,Amir Johnson\johnsam01,2019,51,201,60,147,16,96.9,45
14,Robert Covington\covinro01,2019,13,147,14,67,24,53.3,22
15,Markelle Fultz\fultzma01,2019,19,155,59,70,17,17.1,25
16,Dario Saric\saricda01,2019,13,144,26,86,4,7.8,25
17,Boban Marjanovic\marjabo01,2019,22,180,32,113,5,57.2,22
18,James Ennis\ennisja01,2019,18,95,14,65,3,36,11
19,Shake Milton\miltosh01,2019,20,87,18,35,8,46,6
20,Jonathon Simmons\simmojo02,2019,15,83,33,26,11,6,12
21,Corey Brewer\breweco01,2019,7,53,10,17,12,7.7,8
22,Zhaire Smith\smithzh01,2019,6,40,10,13,2,8.4,6
23,Greg Monroe\monrogr01,2019,3,41,7,13,1,0,1
24,Haywood Highsmith\highsha01,2019,5,9,2,5,1,0,1
25,Demetrius Jackson\jacksde01,2019,6,22,5,3,2,0,1
26,Justin Patton\pattoju01,2019,3,5,3,6,2,0,0
